SG Postal Code,Latitude,Longtitude, Load (demand in kg), Earliest, Latest, Duration (service time),start_tw (hh:mm),end_tw (hh:mm),,,,,
348615,1.327466,103.870786,9,85,105,10,9:25:00,9:45:00,,,,,
360014,1.33583,103.879775,5,97,117,10,9:37:00,9:57:00,,,,,
380044,1.316374,103.877096,5,31,51,10,8:31:00,8:51:00,,,,,
383002,1.313153,103.871757,7,132,152,10,10:12:00,10:32:00,,,,,
418562,1.324012,103.915853,18,69,89,10,9:09:00,9:29:00,,,,,
423641,1.31088,103.902168,16,32,52,10,8:32:00,8:52:00,,,,,
426008,1.315242,103.9073,1,117,137,10,9:57:00,10:17:00,,,,,
427071,1.312992,103.906238,27,51,71,10,8:51:00,9:11:00,,,,,
430010,1.31485,103.895631,36,165,185,10,10:45:00,11:05:00,,,,,
460015,1.321074,103.935303,30,108,128,10,9:48:00,10:08:00,,,,,
465540,1.314975,103.943427,13,124,144,10,10:04:00,10:24:00,,,,,
469001,1.322995,103.922194,10,88,108,10,15:28:00,15:48:00,,,,,
488067,1.341648,103.960488,9,52,72,10,14:52:00,15:12:00,,,,,
506945,1.357229,103.963549,14,95,115,10,15:35:00,15:55:00,,,,,
518457,1.372567,103.950162,18,140,160,10,16:20:00,16:40:00,,,,,
519941,1.377106,103.942364,2,136,156,10,16:16:00,16:36:00,,,,,
521160,1.350787,103.94498,6,130,150,10,16:10:00,16:30:00,,,,,
525498,1.362376,103.958136,7,101,121,10,15:41:00,16:01:00,,,,,
528799,1.354566,103.9423319,18,200,220,10,17:20:00,17:40:00,,,,,
530020,1.363919,103.89057,28,18,38,10,14:18:00,14:38:00,,,,,
536795,1.369105,103.888601,3,162,182,10,16:42:00,17:02:00,,,,,
541209,1.383454,103.89853,13,76,96,10,15:16:00,15:36:00,,,,,
545118,1.380007,103.898756,19,58,78,10,14:58:00,15:18:00,,,,,
546991,1.363391,103.879752,10,34,54,10,14:34:00,14:54:00,,,,,
561596,1.37258,103.850842,9,73,93,10,15:13:00,15:33:00,,,,,
562309,1.365019,103.845289,20,51,71,10,14:51:00,15:11:00,,,,,
563588,1.371353,103.854091,25,127,147,10,16:07:00,16:27:00,,,,,
568049,1.377913,103.868356,25,83,103,10,15:23:00,15:43:00,,,,,
576151,1.3518674,103.8428945,36,142,162,10,16:22:00,16:42:00,,,,,
587971,1.346727,103.774098,6,50,70,10,14:50:00,15:10:00,,,,,
590019,1.339921,103.773874,5,182,202,10,17:02:00,17:22:00,,,,,
596732,1.339624,103.765435,15,77,97,10,15:17:00,15:37:00,,,,,
600040,1.321386,103.742031,25,35,55,10,14:35:00,14:55:00,,,,,
603286,1.338906,103.744608,9,78,98,10,15:18:00,15:38:00,,,,,
629079,1.327233,103.671734,8,149,169,10,16:29:00,16:49:00,,,,,
638492,1.316119,103.6552449,18,69,89,10,15:09:00,15:29:00,,,,,
639518,1.330906,103.651269,13,73,93,10,15:13:00,15:33:00,,,,,
641653,1.336728,103.696733,14,179,199,10,16:59:00,17:19:00,,,,,
644648,1.339434,103.697594,3,96,116,10,15:36:00,15:56:00,,,,,
648332,1.339345,103.705984,23,92,112,10,11:02:00,11:22:00,,,,,
649812,1.344266,103.717562,6,182,202,10,9:34:00,9:54:00,,,,,
658074,1.349274,103.749061,26,94,114,10,15:34:00,15:54:00,,,,,
671633,1.385499,103.758362,16,55,75,10,14:55:00,15:15:00,,,,,
673633,1.384937,103.759226,11,44,64,10,14:44:00,15:04:00,,,,,
679452,1.36934,103.772229,7,101,121,10,15:41:00,16:01:00,,,,,
680025,1.377967,103.755083,41,91,111,10,15:31:00,15:51:00,,,,,
681476,1.376441,103.737799,35,94,114,10,15:34:00,15:54:00,,,,,
683683,1.40469,103.74625,26,93,113,10,9:33:00,9:53:00,,,,,
731571,1.4301299,103.791005,9,74,94,10,15:14:00,15:34:00,,,,,
732899,1.436555,103.794974,15,176,196,10,16:56:00,17:16:00,,,,,
733683,1.441129,103.803303,3,95,115,10,15:35:00,15:55:00,,,,,
737894,1.432207,103.797367,1,160,180,10,16:40:00,17:00:00,,,,,
738076,1.426804,103.778738,2,18,38,10,14:18:00,14:38:00,,,,,
753501,1.451581,103.821656,22,188,208,10,17:08:00,17:28:00,,,,,
757711,1.436363,103.825327,27,100,120,10,15:40:00,16:00:00,,,,,
758523,1.458609,103.836251,20,39,59,10,14:39:00,14:59:00,,,,,
789095,1.39086,103.8365309,11,135,155,10,16:15:00,16:35:00,,,,,
798592,1.388199,103.878493,12,133,153,10,16:13:00,16:33:00,,,,,
805545,1.38463,103.860363,10,58,78,10,14:58:00,15:18:00,,,,,
808437,1.386012,103.873394,9,83,103,10,15:23:00,15:43:00,,,,,
821109,1.394534,103.910229,17,185,205,10,17:05:00,17:25:00,,,,,
